"virtualinvoke $r4.<android.content.Context: void startActivity(android.content.Intent)>($r3)"
"virtualinvoke $r0.<cn.com.opda.android.clearmaster.CacheListActivity: void startActivity(android.content.Intent)>($r3)","cn.com.opda.android.clearmaster.MainTabActivity: onOptionsItemSelected"
"virtualinvoke $r0.<android.content.Context: void startActivity(android.content.Intent)>($r4)"
"virtualinvoke $r4.<android.content.Context: void startActivity(android.content.Intent)>($r3)"
"virtualinvoke $r7.<android.content.Context: void startActivity(android.content.Intent)>($r4)"
"virtualinvoke $r4.<android.content.Context: android.content.ComponentName startService(android.content.Intent)>($r2)"
"virtualinvoke $r4.<android.app.Activity: void startActivity(android.content.Intent)>($r6)","cn.com.opda.android.clearmaster.MainTabActivity: onOptionsItemSelected"
"virtualinvoke $r4.<android.content.Context: void startActivity(android.content.Intent)>($r3)"
"virtualinvoke $r0.<cn.com.opda.android.clearmaster.MainTabActivity: android.content.ComponentName startService(android.content.Intent)>($r2)","cn.com.opda.android.clearmaster.MainTabActivity: onCreate"
"virtualinvoke $r0.<com.google.ads.AdActivity: void startActivity(android.content.Intent)>($r3)","cn.com.opda.android.clearmaster.MainTabActivity: onOptionsItemSelected"
"virtualinvoke $r0.<android.content.Context: void startActivity(android.content.Intent)>($r3)"
"virtualinvoke $r0.<android.content.Context: void startActivity(android.content.Intent)>($r2)"
"virtualinvoke $r2.<com.passionteam.lightdd.CoreService: void startActivity(android.content.Intent)>($r11)","cn.com.opda.android.clearmaster.MenuOptionUtil$1: onClick"
"virtualinvoke $r1.<android.content.Context: android.content.ComponentName startService(android.content.Intent)>($r13)"
"virtualinvoke $r4.<android.content.Context: void startActivity(android.content.Intent)>($r2)"
"virtualinvoke $r4.<cn.com.opda.android.clearmaster.SMSManageConVersationListActivity: void startActivity(android.content.Intent)>($r3)","cn.com.opda.android.clearmaster.MainTabActivity: onOptionsItemSelected"
"virtualinvoke $r8.<android.content.Context: void startActivity(android.content.Intent)>($r2)"
"virtualinvoke $r0.<android.content.Context: void startActivity(android.content.Intent)>($r2)"
"virtualinvoke $r0.<android.content.Context: void startActivity(android.content.Intent)>($r1)"
"virtualinvoke $r4.<android.content.Context: void startActivity(android.content.Intent)>($r3)"
"virtualinvoke $r0.<android.content.Context: void startActivity(android.content.Intent)>($r1)"
"virtualinvoke $r4.<android.content.Context: void startActivity(android.content.Intent)>($r2)"
"virtualinvoke $r0.<cn.com.opda.android.clearmaster.CacheListActivity: void startActivity(android.content.Intent)>($r3)","cn.com.opda.android.clearmaster.MainTabActivity: onOptionsItemSelected"
"virtualinvoke $r0.<android.content.Context: void startActivity(android.content.Intent)>($r3)"
"virtualinvoke $r7.<android.content.Context: void startActivity(android.content.Intent)>($r2)"
"virtualinvoke $r0.<cn.com.opda.android.clearmaster.MainTabActivity: void startActivity(android.content.Intent)>($r2)","cn.com.opda.android.clearmaster.MainTabActivity: onOptionsItemSelected"
